WellheadPressure (psig),WellheadTemperature (deg F),DownholeGaugePressure (psig),DownholeGaugeTemperature (deg F),GasRate (MMscf/day),OilRate (STB/day),WaterRate (STB/day),WellUnstable (0/1)
1145.746582,105.8973694,1433.194946,202.9020386,5,250.1883392,2.988969803,1
1145.852173,113.0114746,1436.907227,202.885437,6.071402073,303.7987976,3.629446983,1
1145.44812,120.0209656,1442.485474,202.8705444,7.372383595,368.8968811,4.407166004,1
1145.348022,126.7267303,1451.810913,202.8567505,8.952139854,447.9442139,5.351534843,1
1145.370483,132.9810638,1465.817993,202.8439178,10.87040806,543.9298706,6.498263359,1
1145.805908,138.6204529,1486.381592,202.8313141,13.19972134,660.4832764,7.890712738,1
1145.713623,143.5276184,1514.429443,202.817749,16.0281601,802.0118408,9.581537247,0
1146.055054,147.6081848,1553.718628,202.8034821,19.46267891,973.8670654,11.63467121,0
1145.436523,150.7392883,1606.112061,202.7881165,23.63314629,1182.547607,14.1277523,0
1145.989136,152.9355774,1678.195923,202.7700653,28.69726563,1435.944336,17.15505219,0
1146.068237,153.9949341,1774.630981,202.7496185,34.84652329,1743.638916,20.83103943,0
1145.749512,153.7886963,1906.707275,202.7259369,42.31344986,2117.266357,25.29472351,0
1145.262817,152.289917,2079.129883,202.7011719,51.38038635,2570.954834,30.7148838,0
1145.726563,149.3511963,2301.775146,202.6780396,62.39018631,3121.859619,37.29647827,0
1145.798584,145.0385742,2584.028809,202.6581421,75.75917816,3790.812744,45.28837585,0
1145.740967,139.5391846,2938.562256,202.6413574,91.99288178,4603.109375,54.99278641,0
1145.693604,133.5839844,3381.768311,202.6584473,111.7051392,5589.464844,66.7766571,0
1145.576782,128.1726074,3940.515869,202.6762695,135.6413422,6787.176758,81.08557129,0
1145.618042,123.3244629,4650.266113,202.7137451,164.706604,8241.535156,98.46061707,0
1145.295288,119.078125,5579.647949,202.7211914,200,10007.53418,119.5587845,0
1145.546143,106.265564,1435.07373,202.8852844,5,250.1883392,10,1
1145.541382,113.2740936,1438.78418,202.8682861,6.071402073,303.7987976,12.14280319,1
1145.761597,120.1562195,1445.304565,202.8526306,7.372383595,368.8968811,14.74476624,1
1145.457275,126.6945648,1454.626587,202.8382874,8.952139854,447.9442139,17.90427971,1
1145.997925,132.7289429,1469.574097,202.8239136,10.87040806,543.9298706,21.74081421,1
1146.070801,138.1045227,1490.132202,202.8100891,13.19972134,660.4832764,26.39944077,1
1145.494873,142.7010498,1518.172852,202.7956238,16.0281601,802.0118408,32.05632019,0
1145.203247,146.4332581,1557.452759,202.7798004,19.46267891,973.8670654,38.92535782,0
1145.537964,149.2193604,1611.726563,202.7621002,23.63314629,1182.547607,47.26629639,0
1146.088013,150.9979553,1684.744263,202.7421417,28.69726563,1435.944336,57.39453125,0
1145.309204,151.6461182,1782.104858,202.7186737,34.84652329,1743.638916,69.69304657,0
1145.587158,151.0837402,1916.058472,202.6946411,42.31344986,2117.266357,84.62689972,0
1145.93396,149.4462891,2090.358887,202.678833,51.38038635,2570.954834,102.7607727,0
1145.563965,146.7099609,2313.462891,202.6539917,62.39018631,3121.859619,124.7803802,0
1145.223389,142.9194336,2596.648438,202.6350708,75.75917816,3790.812744,151.5183563,0
1145.547485,138.2113037,2953.068359,202.6190186,91.99288178,4603.109375,183.9857636,0
1145.181152,132.9152832,3398.629639,202.6456299,111.7051392,5589.464844,223.4102783,0
1145.872437,128.0161133,3961.782959,202.6639404,135.6413422,6787.176758,271.2826843,0
1145.206421,123.4936523,4676.240234,202.703125,164.706604,8241.535156,329.4132385,0
1145.950195,120.0629883,5597.695801,202.7631836,200,10007.53418,400,0
1145.547119,107.3986664,1439.759399,202.884491,5,250.1883392,25,1
1145.446533,114.4253998,1443.468506,202.8677368,6.071402073,303.7987976,30.35700798,1
1145.519165,121.2918243,1449.987305,202.8524933,7.372383595,368.8968811,36.86191559,1
1145.790283,127.8006287,1460.251831,202.8385773,8.952139854,447.9442139,44.76070023,1
1146.044556,133.7810669,1475.196167,202.8252258,10.87040806,543.9298706,54.35203552,1
1145.725952,139.0941467,1495.75,202.8115082,13.19972134,660.4832764,65.99860382,1
1145.440918,143.6270447,1524.729614,202.7974548,16.0281601,802.0118408,80.14080048,0
1145.28833,147.2972107,1564.947876,202.7820282,19.46267891,973.8670654,97.31339264,0
1145.560425,150.0305481,1620.158325,202.764328,23.63314629,1182.547607,118.165741,0
1145.767822,151.7568665,1694.110229,202.7454071,28.69726563,1435.944336,143.4863281,0
1145.839844,152.3626709,1795.234985,202.7227631,34.84652329,1743.638916,174.2326202,0
1145.428345,151.7801514,1931.06189,202.6989441,42.31344986,2117.266357,211.5672455,0
1145.375366,150.1630859,2108.177979,202.6829224,51.38038635,2570.954834,256.9019165,0
1146.084351,147.4857178,2335.98877,202.6601563,62.39018631,3121.859619,311.9509583,0
1145.889404,143.7698975,2623.877441,202.6397705,75.75917816,3790.812744,378.7958984,0
1145.712524,139.1257324,2985.470947,202.6004639,91.99288178,4603.109375,459.9644165,0
1145.258911,134.0671387,3438.073975,202.6547852,111.7051392,5589.464844,558.5256958,0
1145.184448,129.331543,4009.375488,202.6738281,135.6413422,6787.176758,678.2067261,0
1145.170898,125.0612793,4734.894531,202.7139893,164.706604,8241.535156,823.5330811,0
1145.302368,121.8632813,5666.194336,202.7749023,200,10007.53418,1000,0
1145.293701,109.2281036,1447.25415,202.8848724,5,250.1883392,50,1
1145.796509,116.2721863,1451.905518,202.8683014,6.071402073,303.7987976,60.71401596,1
1145.62854,123.1122131,1458.420898,202.8543854,7.372383595,368.8968811,73.72383118,1
1145.552979,129.5567474,1468.681519,202.8406219,8.952139854,447.9442139,89.52140045,1
1145.324585,135.4490814,1483.620361,202.8275146,10.87040806,543.9298706,108.704071,1
1145.150146,140.661377,1505.111938,202.8143005,13.19972134,660.4832764,131.9972076,1
1145.628906,145.0953064,1535.973022,202.7998657,16.0281601,802.0118408,160.281601,0
1146.005493,148.6648254,1578.07019,202.7854309,19.46267891,973.8670654,194.6267853,0
1145.612305,151.3018494,1634.211182,202.7679901,23.63314629,1182.547607,236.3314819,0
1145.577026,152.9571838,1710.036255,202.7497711,28.69726563,1435.944336,286.9726563,0
1145.185181,153.4877319,1814.914551,202.7281647,34.84652329,1743.638916,348.4652405,0
1145.505859,152.9004517,1955.442261,202.7055969,42.31344986,2117.266357,423.134491,0
1145.140137,151.3203125,2137.253662,202.6911011,51.38038635,2570.954834,513.803833,0
1145.255249,148.7005615,2370.700439,202.6690063,62.39018631,3121.859619,623.9019165,0
1145.263794,145.1070557,2666.112549,202.651123,75.75917816,3790.812744,757.5917969,0
1145.421631,140.5871582,3036.648193,202.614502,91.99288178,4603.109375,919.928833,0
1145.834351,135.9335938,3500.987061,202.6688232,111.7051392,5589.464844,1117.051392,0
1145.571045,131.4899902,4085.733643,202.6888428,135.6413422,6787.176758,1356.413452,0
1145.157104,127.565918,4828.379883,202.7313232,164.706604,8241.535156,1647.066162,0
1145.645752,124.7729492,5775.10791,202.7915039,200,10007.53418,2000,0
1145.544312,112.6717834,1463.187134,202.8842926,5,250.1883392,100,1
1145.716675,119.717926,1467.834229,202.8691559,6.071402073,303.7987976,121.4280319,1
1145.829102,126.4827576,1475.28833,202.855484,7.372383595,368.8968811,147.4476624,1
1145.844727,132.7930603,1486.485474,202.8438873,8.952139854,447.9442139,179.0428009,1
1145.463135,138.5077667,1502.358521,202.8311768,10.87040806,543.9298706,217.4081421,1
1145.61145,143.5235596,1525.726196,202.8192139,13.19972134,660.4832764,263.9944153,1
1145.187378,147.7463379,1557.514404,202.8055115,16.0281601,802.0118408,320.5632019,0
1145.7677,151.1275635,1602.42395,202.7921295,19.46267891,973.8670654,389.2535706,0
1145.787598,153.6000977,1662.317993,202.7758636,23.63314629,1182.547607,472.6629639,0
1146.077515,155.1317749,1742.835571,202.7585297,28.69726563,1435.944336,573.9453125,0
1145.704712,155.5702515,1854.287476,202.7388763,34.84652329,1743.638916,696.930481,0
1145.586548,154.9882813,2001.852417,202.725708,42.31344986,2117.266357,846.2689819,0
1146.004517,153.4864502,2193.533203,202.7047119,51.38038635,2570.954834,1027.607666,0
1145.629639,150.9980469,2437.782471,202.6864624,62.39018631,3121.859619,1247.803833,0
1145.720337,147.6435547,2746.823975,202.6715698,75.75917816,3790.812744,1515.183594,0
1145.640869,143.3613281,3133.345703,202.6401367,91.99288178,4603.109375,1839.857666,0
1145.486694,139.361084,3618.327148,202.6934814,111.7051392,5589.464844,2234.102783,0
1145.568604,135.4628906,4228.726074,202.7154541,135.6413422,6787.176758,2712.826904,0
1145.581787,132.2021484,5004.498535,202.7617188,164.706604,8241.535156,3294.132324,0
1145.199951,130.0668945,5981.424316,202.8227539,200,10007.53418,4000,0
1145.796265,121.4006348,1518.536133,202.8843079,5,250.1883392,250,1
1145.434937,128.4153442,1515.615356,202.8717041,6.071402073,303.7987976,303.5700684,1
1145.599365,134.8478394,1524.940918,202.8606873,7.372383595,368.8968811,368.6191406,1
1145.882202,140.7097321,1538.948853,202.8503265,8.952139854,447.9442139,447.6069946,1
1145.851929,145.9060974,1558.570068,202.8401794,10.87040806,543.9298706,543.5203857,1
1145.442139,150.3683472,1585.67749,202.8298187,13.19972134,660.4832764,659.9860229,1
1145.692505,154.0631409,1624.028809,202.8186188,16.0281601,802.0118408,801.40802,0
1145.451782,156.950592,1675.489868,202.806778,19.46267891,973.8670654,973.1339722,0
1145.259033,159.0202637,1744.754761,202.7936859,23.63314629,1182.547607,1181.657471,0
1145.682129,160.2568359,1837.464478,202.7795258,28.69726563,1435.944336,1434.863281,0
1145.921631,160.5733032,1963.949463,202.7641602,34.84652329,1743.638916,1742.326172,0
1145.599976,159.6641846,2158.102051,202.6669922,42.31344986,2117.266357,2115.672607,0
1145.71167,156.6008301,2524.975342,202.6670532,51.38038635,2570.954834,2569.019287,0
1145.768677,153.0598145,2956.158936,202.6700439,62.39018631,3121.859619,3119.509521,0
1145.831787,149.5839844,3449.113281,202.7094727,75.75917816,3790.812744,3787.958984,0
1145.734497,146.5524902,4055.822021,202.7392578,91.99288178,4603.109375,4599.644043,0
1145.142944,144.1779785,4772.310547,202.7819824,111.7051392,5589.464844,5585.256836,0
1145.699585,142.7905273,5611.069824,202.845459,135.6413422,6787.176758,6782.066895,0
1145.716797,142.4936523,6450.69873,202.8891602,164.706604,8241.535156,8235.331055,0
1145.790161,143.5522461,7599.354004,202.9575195,200,10007.53418,10000,0
1145.641968,130.7253418,1828.580078,202.8606567,5,250.1883392,500,1
1145.45459,137.0249634,1827.552856,202.8513336,6.071402073,303.7987976,607.1401367,1
1145.7229,142.7037048,1837.770752,202.8429108,7.372383595,368.8968811,737.2382813,1
1145.539917,147.6781311,1860.160645,202.8347015,8.952139854,447.9442139,895.2139893,1
1145.764771,151.8995972,1898.480469,202.8253784,10.87040806,543.9298706,1087.040771,1
1145.152222,155.3343506,1954.594727,202.8162079,13.19972134,660.4832764,1319.972046,0
1145.782227,158.0108643,2035.0896,202.8110809,16.0281601,802.0118408,1602.81604,0
1145.714966,159.9182129,2142.768066,202.8009796,19.46267891,973.8670654,1946.267944,0
1145.380859,161.0689697,2284.209473,202.7911835,23.63314629,1182.547607,2363.314941,0
1145.179932,161.503418,2466.936523,202.781189,28.69726563,1435.944336,2869.726563,0
1145.230957,161.3999023,2684.26416,202.7722778,34.84652329,1743.638916,3484.652344,0
1145.553711,160.5770264,2973.983398,202.7523804,42.31344986,2117.266357,4231.345215,0
1145.627441,159.3157959,3334.114258,202.7835693,51.38038635,2570.954834,5138.038574,0
1145.240601,158.1254883,3773.984375,202.7935791,62.39018631,3121.859619,6239.019043,0
1145.900269,156.9753418,4323.755371,202.8565674,75.75917816,3790.812744,7575.917969,0
1145.627319,156.0981445,4999.24707,202.8457031,91.99288178,4603.109375,9199.288086,0
1134.654297,155.6542969,5780.429199,202.8829346,111.7051392,5589.464844,11170.51367,0
1146.95459,156.3833008,6631.431152,202.9255371,135.6413422,6787.176758,13564.13379,0
1145.79187,157.9682617,7737.273926,202.9802246,164.706604,8241.535156,16470.66211,0
1145.959106,160.5068359,9097.584961,203.0422363,200,10007.53418,20000,0
1146.052124,145.4696655,2014.870239,202.87677,5,250.1883392,1000,1
1145.228516,150.7286987,2024.134766,202.8700409,6.071402073,303.7987976,1214.280273,1
1145.259644,155.3118286,2048.394531,202.8640442,7.372383595,368.8968811,1474.476563,1
1145.498169,159.2109375,2089.518311,202.858139,8.952139854,447.9442139,1790.427979,1
1146.099121,162.4353638,2151.256348,202.8516998,10.87040806,543.9298706,2174.081543,1
1145.722534,165.0048828,2236.413086,202.8460236,13.19972134,660.4832764,2639.944092,0
1145.157104,166.9500122,2351.565918,202.8400116,16.0281601,802.0118408,3205.63208,0
1146.046509,168.3199463,2505.179443,202.8347778,19.46267891,973.8670654,3892.535889,0
1145.486938,169.1481934,2701.933105,202.8303833,23.63314629,1182.547607,4726.629883,0
1145.215088,169.49646,2953.115723,202.8269653,28.69726563,1435.944336,5739.453125,0
1145.581055,169.430542,3270.009766,202.8393555,34.84652329,1743.638916,6969.304688,0
1145.71582,169.3430176,3665.285645,202.84729,42.31344986,2117.266357,8462.69043,0
1145.355591,169.1972656,4155.257813,202.8607178,51.38038635,2570.954834,10276.07715,0
1145.158813,169.2280273,4760.148438,202.8835449,62.39018631,3121.859619,12478.03809,0
1146.069824,169.6352539,5502.560059,202.9146729,75.75917816,3790.812744,15151.83594,0
1145.422485,170.4882813,6331.486328,202.9436035,91.99288178,4603.109375,18398.57617,0
1145.504517,172.168457,7363.767578,202.9885254,111.7051392,5589.464844,22341.02734,0
1145.842651,174.6601563,8658.452148,202.7907715,135.6413422,6787.176758,27128.26758,0
1145.57251,178.6923828,10295.85938,203.1057129,164.706604,8241.535156,32941.32422,0
1145.836914,184.5693359,12396.4541,203.1931152,200,10007.53418,40000,0
1145.601196,178.4329224,3280.724609,202.9383087,5,250.1883392,5000,0
1145.882324,180.6707764,3391.169678,202.9390259,6.071402073,303.7987976,6071.401367,0
1145.540039,182.6036377,3540.026123,202.9411011,7.372383595,368.8968811,7372.383301,0
1145.457642,184.2972412,3737.630127,202.9446411,8.952139854,447.9442139,8952.139648,0
1145.797852,185.8253174,3995.552246,202.9498291,10.87040806,543.9298706,10870.40723,0
1145.91626,187.2653809,4326.885254,202.9663086,13.19972134,660.4832764,13199.7207,0
1145.344116,188.6933594,4747.855469,202.9682617,16.0281601,802.0118408,16028.16016,0
1145.608032,190.2180176,5279.087891,202.9819336,19.46267891,973.8670654,19462.67969,0
1145.575684,191.9082031,5932.151367,202.9967041,23.63314629,1182.547607,23633.14844,0
1145.522339,193.9291992,6748.611816,203.0205078,28.69726563,1435.944336,28697.26563,0
1145.571655,196.4633789,7782.129883,203.0500488,34.84652329,1743.638916,34846.52344,0
1145.727783,199.6142578,9093.949219,203.0864258,42.31344986,2117.266357,42313.44922,0
1147.203735,203.7871094,10771.32227,203.1333008,51.38038635,2570.954834,51380.38672,0
1145.861328,209.2470703,12928.90332,203.1962891,62.39018631,3121.859619,62390.19141,0
1145.460693,216.4472656,15725.64551,203.2783203,75.75917816,3790.812744,75759.17969,0
1145.621338,225.9941406,19374.22461,203.390625,91.99288178,4603.109375,91992.88281,0
1145.413574,238.7460938,24181.46875,203.5478516,111.7051392,5589.464844,111705.1406,0
1145.817383,256.0078125,30593.20117,203.7783203,135.6413422,6787.176758,135641.3438,0
1145.566528,279.765625,39279.50781,204.1389771,164.706604,8241.535156,164706.625,0
1145.41394,313.3203125,51265.39844,204.7446289,200,10007.53418,200000,0
1145.527588,105.2411041,1425.690796,202.9047241,5,219.4750977,2.988969803,1
1145.671753,112.328064,1429.403809,202.8877869,6.071401596,266.504303,3.629446983,1
1145.348999,119.3479767,1434.983398,202.8725891,7.372383118,323.6109009,4.407166004,1
1145.390259,126.0948944,1444.310791,202.8590088,8.952138901,392.9543457,5.351534843,1
1145.626465,132.3941803,1458.32019,202.8452148,10.8704071,477.1567383,6.498263359,1
1145.560059,138.0731201,1477.942261,202.8329163,13.19972134,579.4020386,7.890712738,1
1145.899048,143.0296021,1505.994507,202.8188019,16.02815819,703.5563965,9.581537247,0
1146.002808,147.1572571,1544.343872,202.8045807,19.46267891,854.3146973,11.63467121,0
1145.341187,150.3829651,1595.799683,202.787796,23.63314819,1037.377563,14.1277523,0
1145.194092,152.6043701,1666.001587,202.7705536,28.69726563,1259.667114,17.15505219,0
1145.827759,153.7091064,1761.50293,202.748703,34.84652329,1529.588867,20.83103943,0
1145.562378,153.5029297,1891.701538,202.7245789,42.31344986,1857.349731,25.29472351,0
1145.702759,151.9783936,2062.249268,202.6994629,51.38038254,2255.343018,30.7148838,0
1145.716431,148.9869385,2281.601074,202.6749878,62.39018631,2738.618652,37.29647827,0
1145.370483,144.5871582,2560.090088,202.6541748,75.75917816,3325.450684,45.28837585,0
1145.860596,138.9724121,2910.86499,202.6362305,91.99288178,4038.029297,54.99278641,0
1145.691895,132.810791,3348.906982,202.6530762,111.7051392,4903.299316,66.7766571,0
1146.099609,127.2197266,3901.520264,202.6693115,135.6413422,5953.979492,81.08557129,0
1145.664429,122.1252441,4602.453125,202.7056885,164.706604,7229.800293,98.46061707,0
1146.070313,117.5532227,5529.602051,202.7128906,200,8779.003906,119.5587845,0
1145.527588,105.2411041,1425.690796,202.9047241,5,219.4750977,2.988969803,1
1145.671753,112.328064,1429.403809,202.8877869,6.071401596,266.504303,3.629446983,1
1145.348999,119.3479767,1434.983398,202.8725891,7.372383118,323.6109009,4.407166004,1
1145.390259,126.0948944,1444.310791,202.8590088,8.952138901,392.9543457,5.351534843,1
1145.626465,132.3941803,1458.32019,202.8452148,10.8704071,477.1567383,6.498263359,1
1145.560059,138.0731201,1477.942261,202.8329163,13.19972134,579.4020386,7.890712738,1
1145.899048,143.0296021,1505.994507,202.8188019,16.02815819,703.5563965,9.581537247,0
1146.002808,147.1572571,1544.343872,202.8045807,19.46267891,854.3146973,11.63467121,0
1145.341187,150.3829651,1595.799683,202.787796,23.63314819,1037.377563,14.1277523,0
1145.194092,152.6043701,1666.001587,202.7705536,28.69726563,1259.667114,17.15505219,0
1145.827759,153.7091064,1761.50293,202.748703,34.84652329,1529.588867,20.83103943,0
1145.562378,153.5029297,1891.701538,202.7245789,42.31344986,1857.349731,25.29472351,0
1145.702759,151.9783936,2062.249268,202.6994629,51.38038254,2255.343018,30.7148838,0
1145.716431,148.9869385,2281.601074,202.6749878,62.39018631,2738.618652,37.29647827,0
1145.370483,144.5871582,2560.090088,202.6541748,75.75917816,3325.450684,45.28837585,0
1145.860596,138.9724121,2910.86499,202.6362305,91.99288178,4038.029297,54.99278641,0
1145.691895,132.810791,3348.906982,202.6530762,111.7051392,4903.299316,66.7766571,0
1146.099609,127.2197266,3901.520264,202.6693115,135.6413422,5953.979492,81.08557129,0
1145.664429,122.1252441,4602.453125,202.7056885,164.706604,7229.800293,98.46061707,0
1146.070313,117.5532227,5529.602051,202.7128906,200,8779.003906,119.5587845,0
1146.087402,105.5964966,1428.514038,202.8877258,5,219.4750977,10,1
1145.350708,112.6123199,1431.280518,202.8699036,6.071401596,266.504303,12.14280319,1
1145.654297,119.5116577,1437.802246,202.8538971,7.372383118,323.6109009,14.74476624,1
1145.48645,126.0831909,1447.126343,202.8392944,8.952138901,392.9543457,17.90427971,1
1145.437744,132.1619415,1461.130859,202.8251038,10.8704071,477.1567383,21.74081421,1
1145.806763,137.5933228,1481.692383,202.8114319,13.19972134,579.4020386,26.39944077,1
1145.656616,142.2516785,1509.737305,202.7962646,16.02815819,703.5563965,32.05632019,0
1145.116455,146.0400696,1548.077515,202.7804413,19.46267891,854.3146973,38.92535782,0
1145.396851,148.8771973,1601.41333,202.7619781,23.63314819,1037.377563,47.26629639,0
1145.225586,150.6835022,1672.54834,202.7407379,28.69726563,1259.667114,57.39453125,0
1145.897583,151.3755493,1769.921875,202.7178802,34.84652329,1529.588867,69.69304657,0
1145.207642,150.8012695,1901.050659,202.6925659,42.31344986,1857.349731,84.62689972,0
1145.541748,149.1265869,2073.002197,202.6757813,51.38038254,2255.343018,102.7607727,0
1145.779785,146.3497314,2293.758057,202.6509399,62.39018631,2738.618652,124.7803802,0
1145.60437,142.4732666,2573.654053,202.6303711,75.75917816,3325.450684,151.5183563,0
1145.587646,137.6340332,2925.840576,202.6126709,91.99288178,4038.029297,183.9857636,0
1145.770752,132.1506348,3366.712402,202.6396484,111.7051392,4903.299316,223.4102783,0
1145.372925,127.027832,3923.063477,202.6569824,135.6413422,5953.979492,271.2826843,0
1145.160156,122.296875,4629.263184,202.6948242,164.706604,7229.800293,329.4132385,0
1145.84375,118.6064453,5528.052246,202.7547607,200,8779.003906,400,0
1145.297607,106.7572479,1432.255005,202.8869781,5,219.4750977,25,1
1145.232422,113.7823029,1435.964966,202.8703766,6.071401596,266.504303,30.35700798,1
1145.383057,120.6687012,1442.484619,202.8554077,7.372383118,323.6109009,36.86191559,1
1145.784302,127.2128754,1452.750732,202.8409729,8.952138901,392.9543457,44.76070023,1
1145.439087,133.2364197,1466.752197,202.8267365,10.8704071,477.1567383,54.35203552,1
1145.399658,138.6052246,1487.30896,202.8129425,13.19972134,579.4020386,65.99860382,1
1145.522095,143.2009583,1516.293213,202.7991028,16.02815819,703.5563965,80.14080048,0
1145.950317,146.9282532,1556.516968,202.7825012,19.46267891,854.3146973,97.31339264,0
1145.275879,149.7006836,1609.843262,202.7646484,23.63314819,1037.377563,118.165741,0
1145.643066,151.465332,1682.858521,202.7444916,28.69726563,1259.667114,143.4863281,0
1145.17981,152.0875854,1782.103271,202.7216492,34.84652329,1529.588867,174.2326202,0
1145.720093,151.5167236,1916.998047,202.6970673,42.31344986,1857.349731,211.5672455,0
1145.584961,149.8579102,2091.764893,202.6808472,51.38038254,2255.343018,256.9019165,0
1145.5354,147.1131592,2316.280762,202.6568604,62.39018631,2738.618652,311.9509583,0
1145.869507,143.3238525,2601.351318,202.6373901,75.75917816,3325.450684,378.7958984,0
1145.619995,138.5908203,2959.18042,202.621582,91.99288178,4038.029297,459.9644165,0
1145.450928,133.3071289,3407.097168,202.6485596,111.7051392,4903.299316,558.5256958,0
1145.22583,128.385498,3972.324219,202.6672363,135.6413422,5953.979492,678.2067261,0
1145.186768,123.8981934,4689.588867,202.7064209,164.706604,7229.800293,823.5330811,0
1145.888428,120.4711914,5598.491699,202.7657471,200,8779.003906,1000,0
1145.778442,108.6073456,1440.69397,202.8869781,5,219.4750977,50,1
1145.54834,115.6591797,1444.401611,202.8706665,6.071401596,266.504303,60.71401596,1
1145.446899,122.522522,1450.918335,202.8562317,7.372383118,323.6109009,73.72383118,1
1145.488281,129.0044098,1461.180298,202.8412933,8.952138901,392.9543457,89.52140045,1
1145.439941,134.9441986,1476.12085,202.8288574,10.8704071,477.1567383,108.704071,1
1145.536499,140.2118835,1497.615723,202.8154907,13.19972134,579.4020386,131.9972076,1
1145.57959,144.6972351,1527.534912,202.8012238,16.02815819,703.5563965,160.281601,0
1145.643066,148.3172913,1568.691895,202.7862091,19.46267891,854.3146973,194.6267853,0
1145.984375,151.0032654,1624.839844,202.7689056,23.63314819,1037.377563,236.3314819,0
1146.069824,152.6939392,1699.727051,202.7494354,28.69726563,1259.667114,286.9726563,0
1145.165161,153.2365112,1802.726807,202.7276154,34.84652329,1529.588867,348.4652405,0
1145.314087,152.6438599,1941.374756,202.7037659,42.31344986,1857.349731,423.134491,0
1145.225586,151.0296631,2121.30957,202.6890869,51.38038254,2255.343018,513.803833,0
1145.60437,148.3619385,2352.406738,202.6662598,62.39018631,2738.618652,623.9019165,0
1145.225708,144.6737061,2644.525879,202.6470337,75.75917816,3325.450684,757.5917969,0
1145.668579,140.0742188,3011.770264,202.6088867,91.99288178,4038.029297,919.928833,0
1145.842651,135.1987305,3471.420166,202.6629639,111.7051392,4903.299316,1117.051392,0
1145.205688,130.5742188,4050.345215,202.6832275,135.6413422,5953.979492,1356.413452,0
1145.263062,126.4663086,4785.297363,202.7242432,164.706604,7229.800293,1647.066162,0
1145.896118,123.4301758,5712.977051,202.7841797,200,8779.003906,2000,0
